,ds,y
1593,2000-07-16,0.0
1594,2000-07-23,0.0
1595,2000-07-30,0.0
1596,2000-08-06,0.0
1597,2000-08-13,0.0
1598,2000-08-20,0.0
1599,2000-08-27,0.0
1600,2000-09-03,0.0
1601,2000-09-10,0.0
1602,2000-09-17,0.0
1603,2000-09-24,0.0
1604,2000-10-01,0.0
1605,2000-10-08,0.0
1606,2000-10-15,0.0
1607,2000-10-22,0.0
1608,2000-10-29,0.0
1609,2000-11-05,0.0
1610,2000-11-12,0.0
1611,2000-11-19,0.0
1612,2000-11-26,0.0
1613,2000-12-03,0.0
1614,2000-12-10,0.0
1615,2000-12-17,0.0
1616,2000-12-24,0.0
1617,2000-12-31,0.0
1618,2001-01-07,0.0
1619,2001-01-14,0.0
1620,2001-01-21,0.0
1621,2001-01-28,0.0
1622,2001-02-04,0.0
1623,2001-02-11,0.0
1624,2001-02-18,0.0
1625,2001-02-25,0.0
1626,2001-03-04,0.0
1627,2001-03-11,0.0
1628,2001-03-18,0.0
1629,2001-03-25,0.0
1630,2001-04-01,0.0
1631,2001-04-08,0.0
1632,2001-04-15,0.0
1633,2001-04-22,0.0
1634,2001-04-29,0.0
1635,2001-05-06,0.0
1636,2001-05-13,0.0
1637,2001-05-20,0.0
1638,2001-05-27,0.0
1639,2001-06-03,0.0
1640,2001-06-10,0.0
1641,2001-06-17,0.0
1642,2001-06-24,0.0
1643,2001-07-01,0.0
1644,2001-07-08,0.0
1645,2001-07-15,0.0
1646,2001-07-22,0.0
1647,2001-07-29,0.0
1648,2001-08-05,0.0
1649,2001-08-12,0.0
1650,2001-08-19,0.0
1651,2001-08-26,0.0
1652,2001-09-02,0.0
1653,2001-09-09,0.0
1654,2001-09-16,0.0
1655,2001-09-23,0.0
1656,2001-09-30,0.0
1657,2001-10-07,0.0
1658,2001-10-14,0.0
1659,2001-10-21,0.0
1660,2001-10-28,0.0
1661,2001-11-04,0.0
1662,2001-11-11,0.0
1663,2001-11-18,0.0
1664,2001-11-25,0.0
1665,2001-12-02,0.0
1666,2001-12-09,0.0
1667,2001-12-16,0.0
1668,2001-12-23,0.0
1669,2001-12-30,0.0
1670,2002-01-06,0.0
1671,2002-01-13,0.0
1672,2002-01-20,0.0
1673,2002-01-27,0.0
1674,2002-02-03,0.0
1675,2002-02-10,0.0
1676,2002-02-17,0.0
1677,2002-02-24,0.0
1678,2002-03-03,0.0
